term,routeNo,trafficAmout,conzoneId,laneTypeCode,updownType,sumTmUnitTypeCode,vdsId,speed,laneTypeNm,conzoneNm,criteriaDate,sTime,roadShift,dlcnLength
2018.11.10(토),,0,0010CZE010,1,,,0010VDE00100,0.00,일반차로,구서IC-영락IC,,00,0.20,0.00
2018.11.10(토),,0,0010CZE011,1,,,0010VDE00200,0.00,일반차로,영락IC-부산TG,,00,2.02,0.00
2018.11.10(토),,0,0010CZE011,1,,,0010VDE00300,0.00,일반차로,영락IC-부산TG,,00,2.02,0.00
2018.11.10(토),,0,0010CZE020,1,,,0010VDE00400,0.00,일반차로,부산TG-노포,,00,4.01,0.00
2018.11.10(토),,0,0010CZE030,1,,,0010VDE00500,0.00,일반차로,노포IC-노포JC,,00,5.08,0.00
2018.11.10(토),,0,0010CZE035,1,,,0010VDE00600,0.00,일반차로,노포JC-양산JC,,00,5.58,0.00
2018.11.10(토),,0,0010CZE035,1,,,0010VDE00700,0.00,일반차로,노포JC-양산JC,,00,5.58,0.00
2018.11.10(토),,467,0010CZE035,1,,,0010VDE00800,105.33,일반차로,노포JC-양산JC,,00,5.58,0.00
2018.11.10(토),,0,0010CZE035,1,,,0010VDE00900,0.00,일반차로,노포JC-양산JC,,00,5.58,0.00
2018.11.10(토),,0,0010CZE035,1,,,0010VDE01000,0.00,일반차로,노포JC-양산JC,,00,5.58,0.00
